山东移动,#genre#
山西卫视,http://172.16.1.254:11111/rtp/239.253.254.48:8000
湖南卫视,http://172.16.1.254:11111/rtp/239.253.254.82:8000
湖北卫视,http://172.16.1.254:11111/rtp/239.253.254.88:8000
广东卫视,http://172.16.1.254:11111/rtp/239.253.254.90:8000
广西卫视,http://172.16.1.254:11111/rtp/239.253.254.40:8000
河南卫视,http://172.16.1.254:11111/rtp/239.253.254.44:8000
北京卫视,http://172.16.1.254:11111/rtp/239.253.254.85:8000
天津卫视,http://172.16.1.254:11111/rtp/239.253.254.89:8000
重庆卫视,http://172.16.1.254:11111/rtp/239.253.254.38:8000
江苏卫视,http://172.16.1.254:11111/rtp/239.253.254.83:8000
浙江卫视,http://172.16.1.254:11111/rtp/239.253.254.84:8000
东方卫视,http://172.16.1.254:11111/rtp/239.253.254.86:8000
东南卫视,http://172.16.1.254:11111/rtp/239.253.254.41:8000
海南卫视,http://172.16.1.254:11111/rtp/239.253.254.35:8000
四川卫视,http://172.16.1.254:11111/rtp/239.253.254.50:8000
安徽卫视,http://172.16.1.254:11111/rtp/239.253.254.87:8000
江西卫视,http://172.16.1.254:11111/rtp/239.253.254.47:8000
陕西卫视,http://172.16.1.254:11111/rtp/239.253.254.49:8000
甘肃卫视,http://172.16.1.254:11111/rtp/239.253.254.52:8000
宁夏卫视,http://172.16.1.254:11111/rtp/239.253.254.53:8000
云南卫视,http://172.16.1.254:11111/rtp/239.253.254.42:8000
贵州卫视,http://172.16.1.254:11111/rtp/239.253.254.51:8000
新疆卫视,http://172.16.1.254:11111/rtp/239.253.254.60:8000
青海卫视,http://172.16.1.254:11111/rtp/239.253.254.54:8000
西藏卫视,http://172.16.1.254:11111/rtp/239.253.254.56:8000
辽宁卫视,http://172.16.1.254:11111/rtp/239.253.254.92:8000
吉林卫视,http://172.16.1.254:11111/rtp/239.253.254.46:8000
兵团卫视,http://172.16.1.254:11111/rtp/239.253.254.57:8000
农林卫视,http://172.16.1.254:11111/rtp/239.253.254.70:8000
深圳卫视,http://172.16.1.254:11111/rtp/239.253.254.91:8000
黑龙江卫视,http://172.16.1.254:11111/rtp/239.253.254.93:8000
内蒙古卫视,http://172.16.1.254:11111/rtp/239.253.254.58:8000

山东电信,#genre#
CCTV-01 综合,http://150.138.8.143/00/SNM/CHANNEL00000311/index.m3u8
CCTV-02 财经,http://150.138.8.143/00/SNM/CHANNEL00000317/index.m3u8
CCTV-03 综艺,http://150.138.8.143/00/SNM/CHANNEL00000359/index.m3u8
CCTV-04 中文国际,http://150.138.8.143/00/SNM/CHANNEL00000320/index.m3u8
CCTV-04 中文欧洲,http://150.138.8.143/00/SNM/CHANNEL00000350/index.m3u8
CCTV-04 中文美洲,http://150.138.8.143/00/SNM/CHANNEL00000351/index.m3u8
CCTV-05 体育,http://150.138.8.143/00/SNM/CHANNEL00000360/index.m3u8
CCTV-5+ 体育赛事,http://150.138.8.143/00/SNM/CHANNEL00000316/index.m3u8
CCTV-06 电影,http://150.138.8.143/00/SNM/CHANNEL00000361/index.m3u8
CCTV-07 国防军事,http://150.138.8.143/00/SNM/CHANNEL00000318/index.m3u8
CCTV-08 电视剧,http://150.138.8.143/00/SNM/CHANNEL00000362/index.m3u8
CCTV-09 纪录,http://150.138.8.143/00/SNM/CHANNEL00000319/index.m3u8
CCTV-10 科教,http://150.138.8.143/00/SNM/CHANNEL00000321/index.m3u8
CCTV-11 戏曲,http://150.138.8.143/00/SNM/CHANNEL00000344/index.m3u8
CCTV-12 社会与法,http://150.138.8.143/00/SNM/CHANNEL00000322/index.m3u8
CCTV-13 新闻,http://150.138.8.143/00/SNM/CHANNEL00000345/index.m3u8
CCTV-14 少儿,http://150.138.8.143/00/SNM/CHANNEL00000323/index.m3u8
CCTV-15 音乐,http://150.138.8.143/00/SNM/CHANNEL00000346/index.m3u8
CCTV-16 奥林匹克,http://150.138.8.143/00/SNM/CHANNEL00000360/index.m3u8
CCTV-17 农业农村,http://150.138.8.143/00/SNM/CHANNEL00000303/index.m3u8
CHC-家庭影院,http://150.138.8.143/00/SNM/CHANNEL00002028/index.m3u8
CHC-影迷电影,http://150.138.8.143/00/SNM/CHANNEL00002029/index.m3u8
CGTN-01 英语,http://150.138.8.143/00/SNM/CHANNEL00000352/index.m3u8
CGTN-02 纪录,http://150.138.8.143/00/SNM/CHANNEL00000353/index.m3u8
CGTN-03 俄语,http://150.138.8.143/00/SNM/CHANNEL00000357/index.m3u8
CGTN-04 法语,http://150.138.8.143/00/SNM/CHANNEL00000355/index.m3u8
CGTN-05 西语,http://150.138.8.143/00/SNM/CHANNEL00000354/index.m3u8
CGTN-06 阿语,http://150.138.8.143/00/SNM/CHANNEL00000356/index.m3u8
山东卫视,http://150.138.8.143/00/SNM/CHANNEL10000301/index.m3u8
山西卫视,http://150.138.8.143/00/SNM/CHANNEL00000032/index.m3u8
湖南卫视,http://150.138.8.143/00/SNM/CHANNEL00000324/index.m3u8
湖北卫视,http://150.138.8.143/00/SNM/CHANNEL00000325/index.m3u8
广东卫视,http://150.138.8.143/00/SNM/CHANNEL00000307/index.m3u8
广西卫视,http://150.138.8.143/00/SNM/CHANNEL00000368/index.m3u8
河南卫视,http://150.138.8.143/00/SNM/CHANNEL00000358/index.m3u8
河北卫视,http://150.138.8.143/00/SNM/CHANNEL00000330/index.m3u8
北京卫视,http://150.138.8.143/00/SNM/CHANNEL00000302/index.m3u8
天津卫视,http://150.138.8.143/00/SNM/CHANNEL00000327/index.m3u8
重庆卫视,http://150.138.8.143/00/SNM/CHANNEL00000341/index.m3u8
江苏卫视,http://150.138.8.143/00/SNM/CHANNEL00000304/index.m3u8
浙江卫视,http://150.138.8.143/00/SNM/CHANNEL00000305/index.m3u8
东方卫视,http://150.138.8.143/00/SNM/CHANNEL00000309/index.m3u8
东南卫视,http://150.138.8.143/00/SNM/CHANNEL00000310/index.m3u8
海南卫视,http://150.138.8.143/00/SNM/CHANNEL00000347/index.m3u8
四川卫视,http://150.138.8.143/00/SNM/CHANNEL00000348/index.m3u8
安徽卫视,http://150.138.8.143/00/SNM/CHANNEL00000328/index.m3u8
江西卫视,http://150.138.8.143/00/SNM/CHANNEL00000335/index.m3u8
陕西卫视,http://150.138.8.143/00/SNM/CHANNEL00000029/index.m3u8
甘肃卫视,http://150.138.8.143/00/SNM/CHANNEL00000349/index.m3u8
宁夏卫视,http://150.138.8.143/00/SNM/CHANNEL00000043/index.m3u8
云南卫视,http://150.138.8.143/00/SNM/CHANNEL00000367/index.m3u8
贵州卫视,http://150.138.8.143/00/SNM/CHANNEL00000329/index.m3u8
新疆卫视,http://150.138.8.143/00/SNM/CHANNEL00000044/index.m3u8
青海卫视,http://150.138.8.143/00/SNM/CHANNEL00000366/index.m3u8
西藏卫视,http://150.138.8.143/00/SNM/CHANNEL00000045/index.m3u8
辽宁卫视,http://150.138.8.143/00/SNM/CHANNEL00000326/index.m3u8
吉林卫视,http://150.138.8.143/00/SNM/CHANNEL00000363/index.m3u8
深圳卫视,http://150.138.8.143/00/SNM/CHANNEL00000308/index.m3u8
厦门卫视,http://150.138.8.143/00/SNM/CHANNEL00000075/index.m3u8
兵团卫视,http://150.138.8.143/00/SNM/CHANNEL00000071/index.m3u8
农林卫视,http://150.138.8.143/00/SNM/CHANNEL00000072/index.m3u8
延边卫视,http://150.138.8.143/00/SNM/CHANNEL00000668/index.m3u8
三沙卫视,http://150.138.8.143/00/SNM/CHANNEL00000078/index.m3u8
黑龙江卫视,http://150.138.8.143/00/SNM/CHANNEL00000306/index.m3u8
内蒙古卫视,http://150.138.8.143/00/SNM/CHANNEL00000040/index.m3u8
